timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
1350,0.06758676907462313,0.0714285714285714,0.032258064516129004,0.11111111111111116,0.07885304659498216,250
1400,0.0708812172818892,0.0714285714285714,0.03333333333333344,0.11431623931623935,0.08098290598290592,250
1450,0.03378725630079894,0.03571428571428581,0.0,0.0860507246376811,0.0860507246376811,250
1500,0.033497330010872656,0.03571428571428581,0.0,0.0860507246376811,0.0860507246376811,250
1550,0.03324636475990741,0.03571428571428581,0.0,0.08333333333333326,0.08333333333333326,250
1600,0.03237746488919265,0.03571428571428581,0.0,0.08000000000000007,0.08000000000000007,250
1650,0.0311573224390502,0.03571428571428581,0.0,0.08000000000000007,0.08000000000000007,250
1700,0.030692404104566653,0.03571428571428581,0.0,0.08000000000000007,0.08000000000000007,250
1750,0.03039040980257235,0.03509852216748777,0.0,0.08000000000000007,0.08000000000000007,250
1800,0.030104695516858064,0.03509852216748777,0.0,0.08000000000000007,0.08000000000000007,250
1850,0.02718434602071614,0.032258064516129004,0.0,0.08000000000000007,0.08000000000000007,250
1900,0.025217110003914904,0.0317540322580645,-0.02027027027027023,0.07692307692307687,0.0971933471933471,250
1950,0.02282521717022297,0.03125,-0.03125,0.07692307692307687,0.10817307692307687,250
2000,0.021605682650276094,0.0,-0.03200604838709675,0.07692307692307687,0.10892912531017362,250
2050,0.02041187016646361,0.0,-0.033333333333333326,0.07692307692307687,0.1102564102564102,250
2100,0.019233533873127314,0.0,-0.0357142857142857,0.07692307692307687,0.11263736263736257,250
2150,0.016855010164093073,0.0,-0.03703703703703709,0.0762108262108262,0.11324786324786329,250
2200,0.014701757490840399,0.0,-0.038461538461538436,0.07407407407407418,0.11253561253561262,250
2250,0.012727401926919617,0.0,-0.038461538461538436,0.07023809523809521,0.10869963369963365,250
2300,0.011188798682199432,0.0,-0.040000000000000036,0.07023809523809521,0.11023809523809525,250
2350,0.008351724735297111,0.0,-0.040000000000000036,0.07023809523809521,0.11023809523809525,250
2400,0.006889919873492249,0.0,-0.040000000000000036,0.061544991511035596,0.10154499151103563,250
2450,0.005137258621700562,0.0,-0.040000000000000036,0.050000000000000044,0.09000000000000008,250
2500,0.003341690021417544,0.0,-0.04124999999999998,0.04940476190476195,0.09065476190476193,250
2550,0.0021585449179655357,0.0,-0.04302536231884055,0.04940476190476195,0.0924301242236025,250
2600,0.0005967315500352259,0.0,-0.04347826086956519,0.045454545454545414,0.0889328063241106,250
2650,-0.0005635573019545493,0.0,-0.04347826086956519,0.045454545454545414,0.0889328063241106,250
2700,-0.0026076715358971576,0.0,-0.045454545454545414,0.045454545454545414,0.09090909090909083,250
2750,-0.0046932356982604196,0.0,-0.045454545454545414,0.045454545454545414,0.09090909090909083,250
2800,-0.0066112042353593916,0.0,-0.045454545454545414,0.04347826086956519,0.0889328063241106,250
2850,-0.007781346685501841,0.0,-0.045454545454545414,0.04347826086956519,0.0889328063241106,250
2900,-0.009748649591935183,0.0,-0.053040540540540554,0.043025362318840576,0.09606590285938113,250
2950,-0.011473840697126288,0.0,-0.05882352941176472,0.04166666666666674,0.10049019607843146,250
3000,-0.013287305565591155,0.0,-0.05882352941176472,0.04166666666666674,0.10049019607843146,250
3050,-0.016122895702447435,-0.030776515151515138,-0.06666666666666665,0.04166666666666674,0.10833333333333339,250
3100,-0.017335197617365447,-0.03125,-0.06839080459770117,0.04166666666666674,0.1100574712643679,250
3150,-0.01921874646994656,-0.032258064516129004,-0.07407407407407407,0.040000000000000036,0.1140740740740741,250
3200,-0.020844001504766816,-0.033333333333333326,-0.07407407407407407,0.03703703703703698,0.11111111111111105,250
3250,-0.022319536225885513,-0.03448275862068961,-0.07692307692307687,0.03703703703703698,0.11396011396011385,250
3300,-0.02366091407536681,-0.0357142857142857,-0.07692307692307687,0.03703703703703698,0.11396011396011385,250
3350,-0.02490921373866648,-0.0357142857142857,-0.07692307692307687,0.03703703703703698,0.11396011396011385,250
