timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
7550,-0.33054886391550997,-0.33333333333333337,-0.41594827586206895,-0.24431818181818182,17.392,17.0,250
7600,-0.3315112295069078,-0.33333333333333337,-0.41594827586206895,-0.25,17.368,17.0,250
7650,-0.33310274761842595,-0.33333333333333337,-0.41594827586206895,-0.25,17.328,17.0,250
7700,-0.3346149361706145,-0.33333333333333337,-0.41594827586206895,-0.25201612903225806,17.292,17.0,250
7750,-0.3358110252187271,-0.33333333333333337,-0.4186827956989247,-0.258363201911589,17.26,17.0,250
7800,-0.33661100848827563,-0.33333333333333337,-0.4186827956989247,-0.258363201911589,17.24,17.0,250
7850,-0.3378079117603281,-0.33333333333333337,-0.42307692307692313,-0.2592592592592593,17.208,17.0,250
7900,-0.33873413886655523,-0.33333333333333337,-0.4285714285714286,-0.2592592592592593,17.184,17.0,250
7950,-0.3403549257913009,-0.3448275862068966,-0.4285714285714286,-0.2592592592592593,17.144,17.0,250
8000,-0.3409584472698224,-0.3448275862068966,-0.4285714285714286,-0.2592592592592593,17.128,17.0,250
8050,-0.3426822840127896,-0.34698996655518394,-0.4285714285714286,-0.2623188405797102,17.084,17.0,250
8100,-0.3434362346053376,-0.34698996655518394,-0.4285714285714286,-0.2692307692307693,17.064,17.0,250
8150,-0.3445865830368625,-0.34782608695652173,-0.4285714285714286,-0.2692307692307693,17.036,17.0,250
8200,-0.3458330857873975,-0.35038363171355497,-0.4314671814671815,-0.2692307692307693,17.004,17.0,250
8250,-0.3471462714846155,-0.35504201680672265,-0.4314671814671815,-0.2692307692307693,16.968,16.0,250
8300,-0.3482048987832428,-0.35504201680672265,-0.4314671814671815,-0.2701048951048951,16.94,16.0,250
8350,-0.3487722670471628,-0.35504201680672265,-0.4314671814671815,-0.2701048951048951,16.924,16.0,250
8400,-0.3499351180850139,-0.3571428571428571,-0.43419506462984725,-0.2701048951048951,16.892,16.0,250
8450,-0.35068575070521174,-0.3571428571428571,-0.43419506462984725,-0.2701048951048951,16.872,16.0,250
8500,-0.35215007166813006,-0.35857142857142854,-0.43419506462984725,-0.28,16.836,16.0,250
8550,-0.3527672174852759,-0.35857142857142854,-0.43419506462984725,-0.28,16.82,16.0,250
8600,-0.35357744289205306,-0.36,-0.43419506462984725,-0.28,16.8,16.0,250
8650,-0.3546700535342289,-0.36,-0.4347826086956522,-0.28,16.772,16.0,250
8700,-0.3554477254919009,-0.36,-0.4347826086956522,-0.28,16.752,16.0,250
8750,-0.3570950547487953,-0.3618181818181818,-0.4347826086956522,-0.2814285714285715,16.708,16.0,250
8800,-0.3577180000503381,-0.36363636363636365,-0.4347826086956522,-0.2814285714285715,16.692,16.0,250
8850,-0.35818466671700483,-0.36363636363636365,-0.43869565217391304,-0.2814285714285715,16.68,16.0,250
8900,-0.35866672790863124,-0.36363636363636365,-0.43869565217391304,-0.2814285714285715,16.668,16.0,250
8950,-0.3595042652907338,-0.36363636363636365,-0.43999999999999995,-0.2814285714285715,16.644,16.0,250
9000,-0.35998426529073385,-0.36363636363636365,-0.43999999999999995,-0.2857142857142857,16.632,16.0,250
9050,-0.3606143019207704,-0.36363636363636365,-0.43999999999999995,-0.2857142857142857,16.616,16.0,250
9100,-0.3612375615440301,-0.36363636363636365,-0.43999999999999995,-0.2857142857142857,16.6,16.0,250
9150,-0.3618210373275058,-0.36363636363636365,-0.4433333333333333,-0.2857142857142857,16.584,16.0,250
9200,-0.36248821432371503,-0.36363636363636365,-0.4444444444444444,-0.2857142857142857,16.564,16.0,250
9250,-0.3629476795643568,-0.36363636363636365,-0.4444444444444444,-0.2857142857142857,16.552,16.0,250
9300,-0.36374654736322465,-0.36363636363636365,-0.4444444444444444,-0.2857142857142857,16.532,16.0,250
9350,-0.36428717200040095,-0.36363636363636365,-0.4444444444444444,-0.2857142857142857,16.516,16.0,250
9400,-0.365043199851578,-0.36515151515151517,-0.4444444444444444,-0.2857142857142857,16.496,16.0,250
9450,-0.3655095381110197,-0.36515151515151517,-0.4444444444444444,-0.2857142857142857,16.484,16.0,250
9500,-0.365800543402025,-0.36515151515151517,-0.4444444444444444,-0.2857142857142857,16.476,16.0,250
9550,-0.3660767338782155,-0.36515151515151517,-0.4444444444444444,-0.2857142857142857,16.468,16.0,250
9600,-0.3666561463941797,-0.3666666666666667,-0.4444444444444444,-0.2857142857142857,16.452,16.0,250
9650,-0.3675489218715204,-0.3666666666666667,-0.4444444444444444,-0.29282407407407407,16.428,16.0,250
9700,-0.368737910475509,-0.3666666666666667,-0.4444444444444444,-0.29282407407407407,16.396,16.0,250
9750,-0.38112588444393136,-0.3879928315412186,-0.4545454545454546,-0.3076923076923077,16.076,16.0,250
9800,-0.3818327070560171,-0.3913043478260869,-0.4545454545454546,-0.3076923076923077,16.06,16.0,250
9850,-0.38264611178371727,-0.3913043478260869,-0.4564935064935065,-0.3083554376657825,16.04,16.0,250
9900,-0.38312422626183174,-0.3913043478260869,-0.4564935064935065,-0.3117059891107078,16.028,16.0,250
9950,-0.3841780637968457,-0.3920807453416149,-0.45833333333333337,-0.3117059891107078,16.0,16.0,250
